"date","total_issue_amount","total_paid_off_principle","loan_balance","total_current_principle","overdue_3_principle","overdue_10_principle","overdue_30_principle","overdue_60_principle","overdue_90_principle","overdue_more_than_90_principle","total_paid_off_amount","total_outstanding_amount","total_current_amount","overdue_3_amount","overdue_10_amount","overdue_30_amount","overdue_60_amount","overdue_90_amount","overdue_more_than_90_amount"
"2021-03-24","1357226716777.00000000","1050125229073.41400000","307101487703.58600000","168106547295.00000000","2360105470.00000000","4681362795.00000000","11606923150.00000000","15288993813.80000000","11173447686.00000000","93808076613.78600000","1297748650537.85909303","467947815362.60118000","206590591753.00000000","3048351754.00000000","6302590745.00000000","17849897643.00000000","27772011317.94750000","20832050922.00000000","185552321227.65368000"
"2020-02-28","286348836000.00000000","185243267167.15800000","101105568832.84200000","66392768432.00000000","1794947800.00000000","2468303674.00000000","6876519860.00000000","7197917297.00000000","7107329570.64200000","9264322199.20000000","228727373183.22753600","139547734261.06600000","79960616446.62400000","2264083806.20000000","3273050194.60000000","10955072073.00000000","13363280000.40000000","13182859850.04200000","16548771890.20000000"
"2020-06-03","393681135524.00000000","321779503000.15344400","71901632523.84655600","3141254034.19579200","91947319.04000000","123496897.64000000","713574148.70400000","18139068836.42476400","14692869956.00000000","34995561331.84200000","392296626278.52238394","129992528148.15584471","3752181716.68172071","105454355.92448000","154126694.92568000","1072673927.63480000","33561577182.81716400","27094589968.44200000","64251924301.73000000"
"2021-02-01","1066773296777.00000000","824265000285.26400000","242508296491.73600000","132343280093.00000000","1237570379.00000000","4075958500.00000000","8723157659.95000000","10113470440.00000000","7119519584.00000000","78890248955.78600000","1016142883041.45909303","372903106913.60368000","163006531064.00000000","1554484397.00000000","5420926855.00000000","13364969532.95000000","18509080621.00000000","14205892014.20000000","156841222429.45368000"
"2020-07-26","437553552228.00000000","340286678680.69400000","97266873547.30600000","28665784483.00000000","382399200.00000000","460710000.00000000","753035997.40000000","261830307.16000000","1430768126.70400000","65307285433.04200000","415282484294.88759303","160536887900.98768000","35061287482.36000000","470826420.00000000","620083344.80000000","1151809397.70280000","467500648.14168000","2592980696.65880000","120172399911.32440000"
"2020-12-02","786581569000.00000000","600807401327.14400000","185774167672.85600000","99215371383.07000000","1329788600.00000000","2384108800.00000000","3830443184.00000000","4738964217.00000000","4362364429.00000000","69912568179.78600000","738076301420.03559303","289776774984.52368000","121849204294.07000000","1685965144.00000000","3226868774.00000000","6088865703.20000000","9277188782.85000000","8716550157.20000000","138932132129.20368000"
"2021-03-10","1274924196777.00000000","990899730631.41400000","284024466145.58600000","153928830262.00000000","2026088640.00000000","3829009950.00000000","12178548833.80000000","13695448440.00000000","10002522218.00000000","88361206921.78600000","1223940063587.05909303","434902930518.60118000","189346213052.00000000","2547922294.00000000","5125169220.00000000","18723267048.94750000","25102959842.00000000","18655955940.00000000","175401443121.65368000"
"2021-02-14","1131483846777.00000000","874744075033.31400000","256739771743.68600000","139888994394.95000000","2505469784.00000000","4019079360.00000000","9487434124.95000000","9845817675.00000000","9847020385.00000000","81145665139.78600000","1079103459250.45909303","393936387776.55368000","172236690644.95000000","3167335536.00000000","5375703060.00000000","14828427502.95000000","17985669743.45000000","19002998149.55000000","161339563139.65368000"
"2020-12-25","878141129000.00000000","677799687749.21400000","200341441250.78600000","104951773466.00000000","1472065624.00000000","2958651889.00000000","7549637038.00000000","5887933784.00000000","4691204341.00000000","72829616228.78600000","833665961531.55909303","312651112450.65368000","129287279914.00000000","1840006303.00000000","3925039950.45000000","11952176336.55000000","11536920206.20000000","9364845722.05000000","144744844018.40368000"
"2020-10-29","657128049000.00000000","503760910580.29400000","153367138419.70600000","74577982509.40000000","726106573.00000000","1148439000.00000000","3211449341.00000000","3975313505.00000000","2637601941.00000000","67091686670.30600000","617279217935.01559303","245651576934.57368000","91636311176.40000000","913825733.00000000","1542216883.00000000","5227212044.05000000","7761743069.00000000","5263966695.00000000","133306301334.12368000"
